180	BOUDZBEL VACPA	IAA	37735	37231
181	ALBATEh	Te tile	43791	36980
182	STE AUTO CABLES TUNISIE (10)	Indvélectronipue	19200	36900
183	ASTRAL	C. imie	36413	36819
184	ASSURANCES SALIM	Assurances	33219	36774
185	CHO CAMPANb	Industrie	42563	36281
186	ASSAD INTERNATIONAL	Commerce international		36274
187	SUPER CABLES	IEE	33717	36115
188	SERGA*	EnerQie		35893
189	STRAMICA (STRAMIFLEh)	Industrie du Bois	30092	35046
190	BONNA TUNISIE	BTP	38700	33100
191	MEDITERRANIAN INDUSTRIEL GROUP (7)	IMM	28000	33000
192	INTEGRA PARTNERS	Finance	25605	32308
193	STE VIANDES AVICOLES MOgNINE v SOPROVAM	IAA	31429	32089
194	COGITEL	Industrie	42624	31997
195	LA PAIh (4)	Tourisme loisirs	28385	31936
196	ARAB TUNISIAN LEASE	SerxvLeasinQ	26778	31848
197	SORIMEh	Commerce	29794	31556
198	TUNISIE CATERING (5)	Trans/ort	33473	31189
199	TOPNET	TIC	26341	31160
200	SOTEME	Commerce	23217	30888
201	MEDITTERRANEAN FOOD INDUSTRb	Industrie	18000	30000
202	MUTUELLE GENERALE ASSURANCES	Assurances	24157	29993
203	SUPER MOUSSE	Industrie	24401	29934
204	GENERAL E- UIP IMAGERIE MEDICALE MAINTENANCE	Commerce	18000	29000
205	INOPLAST	IndvPlastipue	28000	29000
206	STE SOGES (8)	Tourisme H' tellerie	25000	29000
207	TELNET	InJormatipue	24200	28980
208	TTE INTERNATIONAL (10)	Electro Mécanipue	22000	28700
209	PROTEINES VITAMINEES ALIMENTAIRES	IAA	24908	28500
210	EL MAY ASSIR	Plastipue	21848	28199
211	HqHqY  SA  (HAIER) (8)	Industrie	26000	28000
212	HORCHANI  DATTES	IAA	28000	28000
213	STE NAT TRANSPORT INTERURBAIN	Trans/ort	25904	27048 (X)
214	STE SODINCO (8)	Industrie	23000	27000
215	ASSURRANCES MAGHREBIA VIE (11)	Assurance	21962	27000
216	MAR- UARDT AUTOMOTIVE TUNISIE	IEE	15001	27000
217	SBC (3)	IAA	24406	26014
218	GENERALE CONFORT ELECTRO NABLI	Commerce DistriKution	21377	25683
219	STE TNNE BOISSONS OUEST (2)	IAA	20355	25517
220	GROUPE SERVICOM	Télécommunications	20269	25335
221	SOCIETE TTS	Tourisme	28187	25246
222	STE REGION TRANSPORT NABEUL	Trans/ort	23695	25229
223	COMPTOIR GENERAL BzTIMENT	Commerce	27000	25000
224	MSFvROTOPLAST	C. imie	25076	25000
225	SOTEFI	Fournitures Scolaires	24219	24696
226	SOCIETE DISTRIBUTION BOISSONS (2)	Serxices	26336	24466
227	LABORATOIRES TERIAg	IndvP. armaceutipue	24382	24382
228	SOCIETE TUNISIENNE VERRIERE v SOTUVER	Industrie	26215	24349 (X)
229	PORTA	Industrie	28029	24331
230	STE REGION TRANSPORT BI*ERTE	Trans/ort	22564	24265
231	TUNISAVIA	Trans/ort	24910	24242
232	STE TNNE ENTREPRISES VENTES SOTEV (2)	IAA	22705	24116
233	HqHqY  TRADING (9)	Commerce		24000
234	FILATURE ITALIENNE	Te tile	22500	24000
235	MODERNE CONFECTION	Te tile	20790	23908
236	STE TNNE BOISSONS NORD (2)	IAA	25210	23874
237	AGENCE FONCIERE INDUSTRIELLE	ImmoKilier	36233	23833
238	GRANUPHOS SA	C. imie	9562	23764
239	TUNISIE VObAGES (16)	Tourisme Serxices	25034	23753
240	TTE (10)	Serxices Télécoms	27000	23600
241	TOPEgA	Te tile	20588	23512
242	IGL INDUSTRIE	Electr Electronipue	19632	23295
243	STE EL HAMMAM (11)	Tourisme	21920	23249
244	ROTOPACg	Industrie	26343	23181
245	CENTRALE MATERIEL E- UIPEMENT (12)	Commerce	15879	22898
246	BRASLAM (13)	Commerce	20751	22357
247	SOCIETE ERRAFAHA (2)	IAA	19377	22294
248	ROLAND EMBALLAGES	Industrie	26455	22128
249	STE TNNE EhPLOSIFS MUNITIONS	Industrie	23146	22102
250	CIE AFRICAINE PEINTURES (15)	C. imie	22000	22000
251	SOCIETE TNNE LUBRIFIANTSvSOTULUB	Pétrole Dérixés	20201	21752
252	STE IND APPAREILLAGE MATERIELS ELECTR	Industrie	21827	21703
253	IMPRIMERIE OFFICIELLE REPUBLI- UE TNNE	Im/rimerie	20963	21472
254	STE INDUSTRIELLE AMORTISSEURSvSIAM	Industrie	18173	21467
255	GROUPE SITS	BTP	15579	20834
256	STECOM	Industrie	22404	20679
257	ASSURANCE HAbETT	Assurances	17001	20618
258	CHRISTINE CONFECTION	Te tile	15253	20486
259	CARTONNERIE TUNISIENNE	Industries	16695	20287
260	COMPTOIR SUD PAPIER	Commerce	21478	20010
261	MIhAL (8)	C. imie	19000	20000
262	OTI TUNISIE	Trans/ort	18000	20000
263	STE REGIONALE TRANSPORT GAFSA	Trans/ort	18121	19653
264	SIPS (14)	MCCV	13192	19624
265	FILATURE MAHDIA	Te tile	14492	19437
266	SOMEFvTUNISIE	IEE	15579	19363
267	STE TOURISTI- UE EL MOURADI (9)	Tourisme	18667	19200
268	SOFI PECHE	IAA	9390	18940
269	STE DETERGENTS TUNISIE	C. imie	16391	18820
270	SOFAP (14)	MCCV	14207	18724
271	CONFECTION RAS ZEBEL	Te tile	21915	18710
272	CAIR TUNISIE	IndvP. armaceutipue	15374	18632
273	STE TNNE EMBALLAGES MODERNES	Industrie	21842	18451
274	NOUVELLE SOTIM	Industrie	17552	18351
275	INDUSTRIE GENERALI TUNISIA	Industrie	13976	18209
276	SOTRAPIL	Trans/ort	16373	18150
277	SANIMED	Industrie	14040	17946
278	GROUPE ALMIA REFRIGERATION	Industrie	21736	17758
279	STE PLACEMENT DEVELOPPt TOURISTI- UE (2)	Tourisme	10824	17672
280	GIAS DISTRIBUTION (13)	Commerce	17577	17585
281	SPASS	IAA	18671	17580
282	DORRA IND MAGHREBINES ALIMENTq DIMA	IAA	16233	17574
283	GROUPE ABOU Y ALID	Industrie	22144	17370
284	COMPTOIR NATIONAL PLASTI- UE	C. imie	16228	17273
285	HOTEL PALACE	Tourisme	17523	17229
286	STE EhPLOIT CANAL ADDUCTIONS EAUh NORD SECADENORD	E /l DistriKution	13664	17073
287	GLE INDUSTRIES DE PEINTURE	Industrie	15600	17000
288	VETEMENT MARATHON	Te tile	15153	16929
289	PFI*ER TUNISIE	IndvP. armaceutipue	15971	16896
290	VLT (9)	H' tellerie	16539	16858
291	LA PREFORME (2)	C. imie	13846	16789
292	STE IMMOBILIERE TOURISTI- UE TSIE SITT AFRICA (9)	Tourisme	13741	16536
293	TRANSPORT SAHEL	Trans/ort	16727	16524
294	EMS (14)	MCCV	20428	16297
295	SOHATRAM	Trans/ort	10564	16253
296	STE IMMOBILIERE PARTICIPATIONS	ImmoKilier	20724	16047
297	STE CONSERVE ALIMENTq PRODUCTEUR CAP BON	IAA	17450	16008
298	SOCIETE REGIONALE DE TRANSPORT DE  MEDENINE	Trans/ort	14910	15991
299	ABV TUNISIE (11)	Tourisme	10041	15399
300	STE EMBALLAGE SAHEL	EmKallaQe	12721	15231
301	MIB (13)	Commerce	9874	15095
302	PANOBOIS (9)	Industrie	15560	14565
303	SMTT	Trans/ort	7854	14545
304	ESSOUgNA	ImmoKilier	17346	14376
305	AISA (5)	Trans/ort	9658	14194
306	EFFE 1	C. aussures	14100	14050
307	STE ALTRAD TUNISIE	IndqMéc Métallipue	11712	13671
308	AGENCE REHABILITATION RENOVATION URBAINE	UrKanisme	6105	13577
309	SEPT MOURADI GAMMARTH (9)	H' tellerie	10933	13463
310	SOCIETE AL gHOUTAF	Industrie	14134	13142
311	ELEONETECH (10)	Elect Mécanipue	9200	13100
312	REGIE NATIONALE ALCOOLS	IAA	13416	13048
313	CALEMBO	IAA	13000	13000
314	MAGHREB INDUSTRIE PLASTI- UES	Plastipue	10434	12787
315	HUILERIE LOUED	Industrie	20000	12500
316	MONETI- UE TUNISIE	SerxvMonétipue	8900	12456
317	BITS INFORMATI- UE	SerxvInJormatipue	16812	12386
318	DEMCO gNITY EAR	Te tile	11600	12359
319	MAMI	Te tile	10348	12322
320	BIENS E- UIPEMENTS HOTELIERS	Epui/ement	12553	12242
321	SERVITRA	Télécommunications	10561	11868
322	SANI SUD	Commerce	12368	11796
323	CENTRALE TNNE INDq PEINTURE	Industrie	9536	11047
324	INDUSTRIELLE MEDICAMENT	IndvP. armaceutipue	13351	11015
325	SOTREGAMES v GABES	Trans/ort	10731	10829
326	LES ATELIERS MECANI- UES INDUSTRIELS	Industrie	9815	10812
327	AMADEUS TUNISIE (5)	Tourisme Loisirs	9123	10751
328	STE HOTEL MOURADI GOLF HOTEL MOURADI PALACE (9)	H' tellerie	11146	10743
329	FUTS METALLI- UE EMBALLAGE PLASTI- UE	EmKallaQe	9759	10618
330	MERSA	Industrie	5692	10607
331	STE IMMOBILIERE VIABILISATION	ImmoKilier	12500	10553
332	GROUPE AMORIM	Industrie	10121	10498
333	STE MEDITEh   DEVANLb TUNISIE	Te tile	10008	10255
334	COTUPLAST	Industrie	11458	10185
335	GROUPE OhIA	SerxvInJormatipue	10415	10159
336	CIE GHORBEL EhPORTATION	Commerce	11279	10136
337	CONSORTIUM DES IMMOBILIERE MAGHREBINES	ImmoKilier	4960	10025
338	TUNISIE MICROvINFORMATI- UE	InJormatipue	18500	10011
339	Y HIRPOOL (15)	Commerce	8000	10000
340	STE  INDUSTRIELLE TRANSFORMATION	Industrie	7167	9857
341	*ITA (13)	IAA	11516	9849
342	COMETE ENGINEERING	Serxices	7138	9817
343	SNITvSUD	ImmoKilier	10923	9765
344	STE TNNE CHAUFFAGE ECLAIRAGE PLOMBERIE	Commerce	8920	9758
345	GIF FILTER	IMM	10906	9705
346	AGENCE TUNIS AFRI- UE PRESSE	InJormation	9471	9705
347	STE TNNE COLLECTE LAIT (2)	IAA	4412	9686
348	EUROCONFEh (MB CONFECTION)	Te tile	8038	9601
349	CIE PROMOTION IMMOBILIERE TOURISTI- UE (6)	ImmoKilier	9000	9600
350	STE HOTELIERE gANTAOUI PALMARINA (9)	H' tellerie	9558	9590
351	TECHNIPLAST INDUSTRIE (10)	Electronipue	5800	9500
352	STE IMMOBILIERE EL MEDINA	ImmoKilier	8100	9491
353	PROSID SUD (HT)	SidérurQie	6378	9383
354	UNION INTERNATIONNALE FILATURE	Te tile	7792	9363
355	AMC ERNST ô  bOUNG	Audit Conseil	8400	9300
356	PLASTIC SFAh	EmKallaQe	7500	9200
357	FRIGOLINE (10)	Tourisme	15378	9185
358	STE MATERIEL CLIMATISATION (11)	Serxices	8137	9114
359	ENFAVET	Te tile	6852	9089
360	CENTRALE DE DISTRIBUTION AUTO	Commerce	9866	9051
361	STE TOURISTq EL MANSOUR MAHDIA (15)	Tourisme	12000	9000
362	RObALE MAHDIA (15)	ElectroménaQer	11000	9000
363	BM BROSSES	Plastipue	7964	8930
364	TISSAGE MEUBLATEh (9)	Industrie	9746	8924
365	NCI (14)	MCCV	5925	8839
366	GROUPE STIVEL	Te tile	11464	8725
367	SERVITRADE	Télécommunications	5947	8723
368	SNIT NORD	ImmoKilier	9491	8682
369	ISALbS	Te tile	9936	8615
370	TUNISIE FACTORING	Finance	7955	8584
371	GROUPE ISA	Te tile	9982	8530
372	SOCIETE TNNE SUCREvSTS	IAA	71706	8516
373	SITS SgANES BEACH (9)	Tourisme	9893	8359
374	GROUPE ADVANCED EvTECHNOLOGIE AeTECH	TIC	8342	8298
375	LES CARRELAGES CHOISIS GABES	MCCV	8152	8125
376	AGENCE PORTS INSTALLATIONS PECHE	Serxices	8088	8059
377	ADVENTURE LAND PLATE FORME	Te tile	11120	7953
378	SODIMAC (14)	Commerce Santé	6396	7932
379	SIED	EmKallaQe	12172	7903
380	STE LA GRIFFE	Te tile	7600	7800
381	SOGEGAT	Serxices	7130	7740
382	MONDIAL E- UIPEMENT MATERIELS ALIMENTq	Epui/ement	7655	7700
383	MEHARI HAMMAMET (16)	Tourisme	7540	7649
384	STE TNNE MARCHES GROSvSOTUMAG	Commerce Serxices	7177	7618
385	GENERAL TRANSPORT INTERNATIONAL	Trans/ort	7564	7527
386	SNIT CENTRE SOUSSE	ImmoKilier	8478	7508
387	MEDICOvCHIRUGICAL	Commerce	3170	7390
388	OPTIMA	Industrie	9619	7310
389	GIT	Commerce	6396	7285
390	GENERALE DE PRECONTRAINTE	MCCV	7752	7268
391	STE EL MOURADI COMMERCE (9)	Commerce	7244	7244
392	STE IFRIgbA HOLDING SARL	Te tile	6662	7204
393	BôB TRICOT	Te tile	5600	7200
394	IFEHUILE	Industrie	5898	7104
395	INOPLAST LOISIRS (8)	Plastipue	7000	7000
396	PROMO FOOD (15)	IAA	7000	7000
397	CITE NATIONALE  SPORTIVE	Serxices	6888	6762
398	IND FABRICATION COLLE ET DERIVES	C. imie	5966	6699
399	TOP FINITION	Te tile	6716	6602
400	RO*ATEh	Te tile	5100	6600
401	STE ALIMENTS BETAIL GHRAIEB FILS	IAA	3927	6500
402	ZAEGER CONTROLS TUNISIA SA	Industrie	5892	6495
403	STE FERMETURE EMBALLAGES PLASTI- UE (2)	Plastipue	6875	6471
404	PROMOTEL (HOTEL RAS EL AIN gASBAH gAIROUAN) (16)	Tourisme	6822	6406
406	COTUNACE	Assurances	6177	6364
407	LAFPROM TUNISIE	Te tile	2052	6298
408	STE BALNEAIRE HAMMAMET SUD BAHAMAS (9)	Tourisme	21317	6295
409	SOTECA ELECTRIC	Electricité	5148	6247
410	SOBITEh	Te tile	5319	6140
411	AL MAADEN	Industrie	4861	6047
412	INSTANCE NAT TELECOMMUNICATIONS	Serxices	5207	6012
413	STE FABRICATION MATERIEL MEDICAL	Industrie	3500	6000
414	UNITED CHIMICAL PARTNERS (15)	C. imie		6000
415	SOCIETE TISSAGE VELOURS	Te tile	7238	5941
416	PC RETAIL OUTLET	DistriKution	4277	5882
417	RAFFINERIE (GROUPE ABOU Y ALID)	Industrie	7407	5882
418	ETABLISSEMENT *OUARI	Commerce		5860
419	STE DELFA	Te tile	5289	5800
420	BETON MANUFACTURE SUD	MCCV	5922	5799
421	AVIATION TRAINING CENTER OF TUNISIA	Serxices	6568	5796
422	AGENCE TNNE COOPq TECHNI- UE ATCT (5)	Serxices	6679	5770
423	LES OLIVIERS PALACE (16)	Tourisme H' tellerie	6358	5770
