Nom de l’entreprise	Activité	CA 2012	CA 2013
MATERIEL INDUSTRIE BUREAUTIQUE - MIB (9)	Commerce	35210	46428
BONNA TUNISIE	BTP	37000	46000
STE REGIONALE TRANSPORT SFAX	Transport terrestre	45982	45782
SUPER MOUSSE	Industrie	43835	44909
STE TUNISIENNE VERRIERE - SOTUVER	M.C.C.V	32200	43900
STE TNNE MINOTERIE SEMOULERIE - SOTUMIS	I.A.A	41574	43728
STE INDUS PHARMACEUTIQUES TUNISIE - SIPHAT	Ind/Pharmaceutique	50287	43332
CONFECTION RAS JEBEL	Textile	37800	43300
ASSURANCES SALIM	Assurances	41731	43108
STE INVESTISSEMENTS HOTELIERS EL MOURADI (12)	Tourisme	44022	42576
COMPTOIR NATIONAL TUNISIEN	Commerce	51923	41820
STE REGIONALE IND LAITIERES YOGO	I.A.A	31603	41660
SORIMEX	Commerce/I.A.A	31631	41420
IND CAROSS. AUTO MATERIELS ELEVATEURS - SICAME (11)	I.M.E	43149	40942
TELNET	TIC	35614	40389
MEDITTERRANEAN FOOD INDUSTRY - MFI	I.A.A	37482	40293
STE NOUVELLE BOISSONS - SNB (2)	I.A.A	37902	40110
SOMATRA-GET	BTP	58468	40034
STE PROD VIANDES AVICOLES MOKNINE - SOPROVAM	I.A.A	34709	40013
SOTETEL	Télécommunications	38388	39724
STE TUNISIENNE EQUIPEMENT - STEQ	Commerce	39072	39385
STE TNNE BOISSONS DU NORD -STBN (2)	I.A.A	31652	39043
SOCIETE ERRAFAHA (2)	Commerce	37108	38725
INDUS NOUVELLES PLASTQUE - INOPLAST (8)	Plastique	30513	38425
COMPAGNIE TUNISIENNE DE FORAGE - CTF	Energie	39030	37895
STE TNNE ENTREPRISES ET VENTES - SOTEV (2)	I.A.A	33461	37891
STRAMIFLEX	Ind/Bois	35873	37665
STE IMMO PARTICIPATIONS - SIMPAR	Immobilier	18453	37231
INTEGRA PARTNERS	Finances	32670	36931
ASSURRANCES MAGHREBIA VIE (11)	Assurance	34700	36902
GIAS INDUSTRIE (9)	I.A.A	31284	36589
STE TNNE BOISSONS OUEST - STBO (2)	I.A.A	31985	36413
ARAB TUNISIAN LEASE	Leasing	34127	36200
ETS M. LOUKIL ET CIE (7)	Commerce/Agriculture	38000	36000
TUNISIE CATERING (6)	Transport/Services	31470	35612
AGENCE FONCIERE INDUSTRIELLE	Immobilier	25374	35154
CAISSE PRETS  SOUTIEN COLLECTIVITES LOCALES	Services	37671	35089
ATTIJARI LEASING	Leasing	30143	34914
COMPTOIR NATIONAL DU PLASTIQUE	Chimie	30175	34480
AIR LIQUIDE TUNISIE	Chimie	28880	34361
COGITEL (19)	Emballage	28684	34256
BONNA BETON MATERIAUX PREFABRIQUES	M.C.C.V	27000	33000
SEREPT	Energie/Transport	31000	32816
EL MAWASSIR	Chimie	32392	32676
PROTEINES VITAMINEES ALIMENTAIRES - PROVITAL	I.A.A	31367	32500
MANUFATURE PANNEAUX BOIS DU SUD	Ind/Bois	28017	32204
MEDITERRANEAN INDUSTRIEL GROUP - MIG (7)	IMM	30000	32000
CELLCOM	TIC	18734	31846
ATELIERS MECANIQUES DU SAHEL	I.M.M	32000	31761
TUNISAVIA	Transport aérien	18679	31720
TOPEKA	Textile	26723	31064
