Rang	Nom de l’entreprise	Activité	CA 2013	CA 2014	
89	TUNIS RE	Réassurance	85878	97634
90	SOCIETE TTS (7)	Tourisme	77500	97136
91	ELECTROSTAR (8)	Commerce/I.E.E	121280	97033
92	COMPAGNIE TUNISIENNE PHARMACEUTIQUE- COTUPHA	Ind/Pharmaceutique	88000	92000
93	STE PRO ARTICLE LAITON- SOPAL	I.M.M	86400	90900
94	FUBA PRINTED CIRCUITS TUNISIE SA (9)	I.E.E	72579	90707
95	STE TNNE INDUSTRIE PNEUMATIQUE- STIP	Ind/Pneumatique	94810	89636
96	STE COMMERCIAL PRODUITS CHIMIQUES- SCPC (17)	M.C.C.V	101501	87696
97	LABORATOIRE ADWYA	Ind/Pharmaceutique	80504	86226
98	STE DEMCO INTER	Textile	104297	86005
99	MUTUELLE ASSURANCE ENSEIGNEMENT- MAE	Assurances	77318	85597
100	SAIDA FOOD TRADING (3)	I.A.A	100000	85000
101	STE MEUNIERE TUNISIENNE- SMT  (8)	I.A.A	88969	84445
102	STE ITALO-TNNE EXPLOITATION PETROLIERE- SITEP	Mines/Energie	87955	83632
103	CARTE	Assurances	85008	81739
104	ACCUMULATEUR TUNISIEN ASSAD	Industrie	69200	80000
105	STE TNNE BOISSONS GAZEUSES - STBG (2)	I.A.A	76067	79454
106	ASTRAL	Chimie	72463	78395
107	STE CONDITIONNEMENT HUILES OLIVES- CHO	I.A.A	99415	76000
108	CIE TNNE RESSORTS LAMES- COTREL (12)	Industrie	74319	75797
109	FLORUS DISTRIBUTION SARL	Industrie	70100	74600
110	SOTUDIS (18)	Ind/Services	67311	74569
111	ECONOMIC AUTO (6)	Commerce	69000	74000
112	CTAMA	Assurances	59852	73557
113	STE NAT IMMOBILIERE TUNISIE - SNIT	Immobilier	47600	73300
114	AGENCE FONCIERE HABITATION- AFH	Immobilier	71149	72075
115	NESTLE TUNISIE	I.A.A		72000
116	STE MODERNE CERAMIQUE - SOMOCER (13)	M.C.C.V	68726	71990
117	LES INDUSTRIES CHIMIQUES DU FLUOR	Chimie	64953	71873
118	LES VIGNERONS DE CARTHAGE	I.A.A	92114	71523
119	TRANSTU	Transport terrestre	68679	70000
120	LLOYD	Assurances	63740	69844
121	ASSURANCES BIAT	Assurances	65598	69408
122	TUNISIE AUTOROUTES	Services	62000	68173
123	STE BOISSONS TUNISIE - SBT (2)	I.A.A	68736	66192
124	CONFISERIE TRIKI LE MOULIN (14)	I.A.A	51717	65890
125	MEUBLATEX (11)	Ind/Meubles	65866	65354
126	BONNA TUNISIE	BTP	46000	65112
127	STE TRACTEURS DIESEL- SOTRADIES	Commerce/Industrie	70000	65000
128	LAND’OR	I.A.A	71362	64711
129	STE TNNE INDUS PAPIER ET CARTON	Industrie	55432	62797
130	COMET	Industrie	67250	62730
131	ETABLISSEMENT ZOUARI (18)	Commerce	24546	62628
132	STE CONST METAL NAVALES INDUSTRIELLES- SOCOMENIN	I.M.M	63244	58861
133	INDUSTRIELLE DES TEXTILES	Textile	58881	57110
134	KIPROPHA (16)	Industrie	55475	56942
135	TRAPSA	Transport Gazoduc	63800	56800
136	AGRIMED (13)	Commerce		56693
137	SOMATRA-GET	BTP	40034	56497
138	PROSID	Sidérurgie	66433	56310
139	LES CIMENTS DE BIZERTE	M.C.C.V	52072	56175
140	STE INDUSTRIES CONSERVES ALIMENTAIRES- SICAM	I.A.A	69997	56000
141	SOCIETE EL ATHIR	I.E.E		56000
142	STE REGIONALE TRANSPORT SFAX	Transport terrestre	50631	55885
143	SOCIETE LAIT ET DERIVES - SLD (2)	I.A.A	103905	55777
144	MEUBLATEX INDUSTRIES (11)	Ind/Meubles	55510	55654
145	STE PROD AGRICOLE TEBOULBA-SOPAT (MLIHA)	I.A.A	85602	55424
146	STE CHAHIA (14)	I.A.A	49700	53300
147	TTE INTERNATIONAL (9)	I.E.E	49038	53252
